period_id,date_range,metric,answer,pct,standard_error
93,1/26/2026 - 2/8/2026,expected_v2_any_function,Do not know,22,.46
94,2/9/2026 - 2/22/2026,current_v2_any_function,Yes,17.5,.4
94,2/9/2026 - 2/22/2026,current_v2_any_function,No,73.1,.25
94,2/9/2026 - 2/22/2026,current_v2_any_function,Do not know,9.4,.27
95,2/23/2026 - 3/8/2026,current_v2_any_function,Yes,18.2,.32
95,2/23/2026 - 3/8/2026,current_v2_any_function,No,72.4,.39
95,2/23/2026 - 3/8/2026,current_v2_any_function,Do not know,9.4,.25
96,3/9/2026 - 3/22/2026,current_v1_goods_services,Yes,18.9,.32
96,3/9/2026 - 3/22/2026,current_v1_goods_services,No,72,.34
96,3/9/2026 - 3/22/2026,current_v1_goods_services,Do not know,9.1,.22
97,3/23/2026 - 4/5/2026,current_v2_any_function,Do not know,9.1,.29
97,3/23/2026 - 4/5/2026,current_v2_any_function,No,71.8,.47
97,3/23/2026 - 4/5/2026,current_v2_any_function,Yes,19.1,.42
98,4/6/2026 - 4/19/2026,current_v2_any_function,Yes,19.8,.29
98,4/6/2026 - 4/19/2026,current_v2_any_function,No,70.9,.33
98,4/6/2026 - 4/19/2026,current_v2_any_function,Do not know,9.3,.15
99,4/20/2026 - 5/3/2026,current_v2_any_function,Yes,19.8,.24
99,4/20/2026 - 5/3/2026,current_v2_any_function,No,71.1,.42
99,4/20/2026 - 5/3/2026,current_v2_any_function,Do not know,9.1,.25
100,5/4/2026 - 5/17/2026,current_v2_any_function,Yes,19.5,.24
100,5/4/2026 - 5/17/2026,current_v2_any_function,No,70.3,.32
100,5/4/2026 - 5/17/2026,current_v2_any_function,Do not know,10.2,.32
101,5/18/2026 - 5/31/2026,current_v2_any_function,Yes,20.6,.29
101,5/18/2026 - 5/31/2026,current_v2_any_function,No,69.6,.44
101,5/18/2026 - 5/31/2026,current_v2_any_function,Do not know,9.9,.27
102,6/1/2026 - 6/14/2026,current_v2_any_function,Yes,20.6,.27
102,6/1/2026 - 6/14/2026,current_v2_any_function,No,69.4,.26
102,6/1/2026 - 6/14/2026,current_v2_any_function,Do not know,10,.2
103,6/15/2026 - 6/28/2026,current_v2_any_function,Yes,20.6,.39
103,6/15/2026 - 6/28/2026,current_v2_any_function,No,68.7,.36
103,6/15/2026 - 6/28/2026,current_v2_any_function,Do not know,10.7,.33
104,6/29/2026 - 7/12/2026,current_v2_any_function,Yes,21.7,.31
104,6/29/2026 - 7/12/2026,current_v2_any_function,No,67.5,.39
104,6/29/2026 - 7/12/2026,current_v2_any_function,Do not know,10.9,.29
105,7/13/2026 - 7/26/2026,current_v2_any_function,Yes,21.5,.42
105,7/13/2026 - 7/26/2026,current_v2_any_function,No,68.1,.42
105,7/13/2026 - 7/26/2026,current_v2_any_function,Do not know,10.3,.17
106,7/27/2026 - 8/9/2026,current_v2_any_function,Yes,21.8,.33
106,7/27/2026 - 8/9/2026,current_v2_any_function,No,68.6,.39
106,7/27/2026 - 8/9/2026,current_v2_any_function,Do not know,9.6,.25
